gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSMUSG00000026082.12,108,109,146,105,147,101
ENSMUSG00000037138.19,6,1,5,3,4,4
ENSMUSG00000026080.15,29,19,30,24,23,25
ENSMUSG00000026077.16,15,9,5,15,11,4
ENSMUSG00000092563.2,3126,2216,3303,2721,3575,4270
ENSMUSG00000073702.12,12680,9808,14533,12740,14708,18379
ENSMUSG00000003134.11,91,66,97,78,114,83
ENSMUSG00000003135.16,973,911,1174,1028,1018,1097
ENSMUSG00000048234.14,95,67,110,110,106,86
ENSMUSG00000026074.16,6360,5421,7443,6163,6162,5642
ENSMUSG00000026062.13,1,1,2,1,2,2
ENSMUSG00000100178.2,23,28,35,34,16,24
ENSMUSG00000060679.15,51,55,83,60,73,47
ENSMUSG00000070939.10,231,201,270,230,257,265
ENSMUSG00000010290.8,8,1,14,6,6,6
ENSMUSG00000008136.15,50,26,38,22,41,50
ENSMUSG00000094497.2,8,4,7,4,5,3
ENSMUSG00000066877.12,459,377,535,427,452,418
ENSMUSG00000057363.13,235,206,303,273,297,270
ENSMUSG00000090243.2,92,91,133,104,96,139
ENSMUSG00000100701.2,125,123,182,163,159,169
ENSMUSG00000041763.15,2027,1667,2275,1965,2127,1705
ENSMUSG00000026049.12,152,131,207,235,166,162
ENSMUSG00000026047.14,24,17,27,24,24,19
ENSMUSG00000041684.12,79,97,128,100,120,85
ENSMUSG00000026048.17,20,14,19,25,21,18
ENSMUSG00000056870.10,394,314,417,369,460,301
ENSMUSG00000100434.2,71,51,63,63,72,67
ENSMUSG00000026043.19,574,96,409,978,1952,803
ENSMUSG00000026042.17,303,211,368,328,423,279
ENSMUSG00000100218.2,145,115,153,120,166,152
ENSMUSG00000025995.17,79,76,79,69,84,65
ENSMUSG00000084817.4,2343,2112,2808,2534,2569,3182
ENSMUSG00000098549.3,9,14,9,10,17,14
ENSMUSG00000025993.11,215,194,236,136,201,216
ENSMUSG00000099946.2,21,24,27,20,22,18
