"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000051951.6",7.77030650531181,0.458572821174776,0.710957332778945,0.645007513154603,0.5189223169015,0.999904447272451
"ENSMUSG00000102269.2",2.79003026288039,0.902311236481723,1.12623628400049,0.801174007000233,0.423030916824998,NA
"ENSMUSG00000102735.2",46.0451234831326,-0.344686099095606,0.291189153934896,-1.18371887976525,0.23652436284753,0.999904447272451
"ENSMUSG00000102175.2",13.1517040735898,0.041951685443047,0.508230664948976,0.0825445773667726,0.93421367164366,0.999904447272451
"ENSMUSG00000103922.2",22.5151833251926,0.617118750205409,0.409593273617049,1.50666231590118,0.131897235521273,0.910146655507328
"ENSMUSG00000033845.14",76.2075125956237,-0.0910984285545126,0.238585904810405,-0.381826531734575,0.702590037653338,0.999904447272451
"ENSMUSG00000025903.15",144.043864747769,0.0996867293605622,0.186114998272973,0.535619000540474,0.59222189432406,0.999904447272451
"ENSMUSG00000033813.16",1704.02553230547,0.0377210249754273,0.0913450269708213,0.412951051921816,0.67964247631582,0.999904447272451
"ENSMUSG00000062588.5",1194.03669468709,0.181438335776836,0.100349826773513,1.8080582858039,0.070597429580978,0.771544663841649
"ENSMUSG00000033793.13",1416.42957908529,-0.11735340443926,0.10434182652577,-1.12470145814706,0.260715563611445,0.999904447272451
"ENSMUSG00000025905.15",2.83890996420548,0.225505443982497,1.09993506334374,0.205017051913022,0.837558802492298,NA
"ENSMUSG00000025907.15",1388.76919720737,-0.0478778625517925,0.128978782519593,-0.371207276239559,0.710483154027553,0.999904447272451
"ENSMUSG00000103355.2",84.4405781970127,0.0207530810260595,0.234325327391808,0.088565249250069,0.929427426600936,0.999904447272451
"ENSMUSG00000103845.2",26.2817334673104,0.136514298393903,0.36496966302655,0.374042864992787,0.708372425364234,0.999904447272451
"ENSMUSG00000033740.18",17.1977455966138,1.75719325853218,0.483888084242169,3.63140427664006,0.000281883211491208,0.0278985346700177
"ENSMUSG00000104385.2",88.626669331813,0.0289517629772447,0.239826852663012,0.120719438443891,0.903913261945765,0.999904447272451
"ENSMUSG00000102135.2",144.985945111222,-0.411407767206039,0.181461670121581,-2.26718825485509,0.0233787280135022,0.478879554473866
"ENSMUSG00000051285.18",352.432801024875,0.111930299279579,0.150802424360237,0.742231431321027,0.457947128026137,0.999904447272451
"ENSMUSG00000098201.2",4.89722109188546,-0.211936467601148,0.859067034288029,-0.24670538984981,0.805136234982976,NA
"ENSMUSG00000048538.8",2427.58599292715,-0.0712028711181722,0.116529712484067,-0.611027604894397,0.54118130533782,0.999904447272451
"ENSMUSG00000084353.2",291.373720199356,-0.0742423976903602,0.139917777010982,-0.530614474274654,0.595685963389791,0.999904447272451
"ENSMUSG00000103933.2",54.2934096729294,-0.588248072383076,0.319136057586689,-1.8432516740083,0.0652922733943393,0.758163569348742
"ENSMUSG00002075967.1",5.31514184910977,0.585015748924724,0.848619840814544,0.689373168983651,0.490588463611833,NA
"ENSMUSG00000104504.2",2.07374647151501,1.15976213927114,1.30767061203909,0.886891644267124,0.375137240709239,NA
"ENSMUSG00000066693.3",24.9756873021909,-0.0478100714205905,0.37782348141058,-0.126540762480126,0.899303884564564,0.999904447272451
"ENSMUSG00000101571.3",7.02074487084462,-0.434087144131069,0.702531353624854,-0.617890065534168,0.536647808062159,NA
"ENSMUSG00000061024.9",122.266027424526,0.0570314938036002,0.188439424075382,0.302651603205843,0.762155383930514,0.999904447272451
"ENSMUSG00000081441.4",103.099440592034,0.0660403094581039,0.198960219817854,0.331927203933345,0.73994422807627,0.999904447272451
"ENSMUSG00000025912.17",29.6672216372806,0.262093674131724,0.366059386159848,0.71598676073088,0.473999523848881,0.999904447272451
"ENSMUSG00000045210.9",585.682316482254,0.0526686995920066,0.152342672390433,0.345725191540712,0.729549250280837,0.999904447272451
"ENSMUSG00000025915.15",38.6065714412951,0.198261207367691,0.31904984879461,0.621411381690774,0.534328985252451,0.999904447272451
"ENSMUSG00000046334.5",11.4302734490459,-0.42721125970789,0.578205221183637,-0.738857492212454,0.459993536555754,0.999904447272451
"ENSMUSG00000025917.10",1215.03302584573,-0.0335282416257449,0.0990516613806334,-0.33849247108439,0.734992099815811,0.999904447272451
"ENSMUSG00000056763.17",41.6600938978363,0.045840586116628,0.291835425846862,0.157076838713482,0.87518429100239,0.999904447272451
"ENSMUSG00000067851.12",2052.56449814701,0.0511761357439366,0.126563388204679,0.404351815085532,0.685954027924311,0.999904447272451
"ENSMUSG00000083422.2",573.054047573175,0.0354206840531932,0.126973407048122,0.278961436702797,0.780274419441222,0.999904447272451
"ENSMUSG00000048960.14",8.96817288878701,0.266629944389725,0.608220231203361,0.438377302678997,0.661112797075936,0.999904447272451
"ENSMUSG00000057715.14",22.2731985668388,-0.247441722979738,0.412229978126535,-0.600251646191014,0.54833853875817,0.999904447272451
"ENSMUSG00000101610.2",30.2158220987511,-0.353587423348827,0.350489734796554,-1.00883817197691,0.313052250991823,0.999904447272451
"ENSMUSG00000097628.2",1.95865923714336,1.01966129149775,1.30518893493501,0.781236543005566,0.434663384594746,NA
"ENSMUSG00000016918.16",7.76309018112421,-0.912913172825224,0.698926618948866,-1.30616455014716,0.191496605326505,0.981844106034026
"ENSMUSG00000025938.17",88.5063420468501,-0.170465179696791,0.215555534110847,-0.790817922629311,0.429050249675356,0.999904447272451
"ENSMUSG00000005886.15",742.730762425021,0.0331947973167741,0.118460122398226,0.280219171183899,0.779309359158777,0.999904447272451
"ENSMUSG00000025935.11",168.621140632644,-0.0932439722276653,0.164184967403768,-0.567920277368373,0.570089102497392,0.999904447272451
"ENSMUSG00000025932.15",4.30430853973308,-1.03274368443229,0.947609237740659,-1.08984130092971,0.275783057294274,NA
"ENSMUSG00000081201.2",16.2266427033314,-0.534813338374571,0.511951557982218,-1.04465613989429,0.296181922863546,0.999904447272451
"ENSMUSG00000082193.2",95.6132807554947,0.345055133582577,0.224259452655966,1.53864253879154,0.123891587479513,0.893129521175492
"ENSMUSG00000092083.5",16.2712064669654,1.0390357241826,0.482750647114177,2.15232383507681,0.0313718578291338,0.560249535262271
"ENSMUSG00000025925.15",72.1514543609679,-0.0120571245878214,0.23150488004767,-0.052081513725925,0.958463742882451,0.999904447272451
"ENSMUSG00000032719.5",5.11833783973124,-0.0443537857398009,0.809125565633926,-0.0548169377209717,0.956284306341197,NA
"ENSMUSG00000043716.14",86.9478746485224,0.160391538471531,0.22035128469604,0.727890189942753,0.466680808841232,0.999904447272451
"ENSMUSG00000025921.8",289.98803097057,-0.172097100480909,0.140982266364779,-1.22070033996775,0.2221994990056,0.999904447272451
"ENSMUSG00000025920.20",875.745620982208,0.115749275993774,0.101141769996605,1.14442604670315,0.252446991322498,0.999904447272451
"ENSMUSG00000025939.20",914.318810201452,-0.0363576618663489,0.121527648654567,-0.29917193551315,0.764808861422029,0.999904447272451
"ENSMUSG00000079658.10",908.380149024279,-0.158406459835563,0.101923633460578,-1.55416810073624,0.12014432436259,0.889466647818256
"ENSMUSG00000091020.4",102.474126193792,-0.0847530071937996,0.196144178977661,-0.432095449559339,0.665672041816501,0.999904447272451
"ENSMUSG00000042686.6",50.9684039611029,0.186365477467434,0.268071958495713,0.695206908298894,0.486925643595937,0.999904447272451
"ENSMUSG00000025777.9",197.077363028521,0.338712825669785,0.164381662862529,2.06052682380424,0.0393482042323301,0.626030422330306
"ENSMUSG00000101589.2",99.4014225975528,0.015094536463595,0.202450095024304,0.0745592955230916,0.940565361402211,0.999904447272451
"ENSMUSG00000025776.14",37.4426824829955,0.325881338954354,0.308875410013312,1.05505756816416,0.2913989966803,0.999904447272451
"ENSMUSG00000100554.2",15.2009464826465,-0.266768980841802,0.488664014819389,-0.54591492876839,0.585124415921189,0.999904447272451
"ENSMUSG00000101685.2",2.79956803064139,0.1812952703752,1.09458699452488,0.165628927880596,0.868448980558431,NA
"ENSMUSG00000099433.2",382.807827899697,-0.405471947597426,0.147765920664934,-2.74401530320954,0.00606927085111434,0.218408012866484
"ENSMUSG00000100720.2",61.6537194474506,0.0723867041528786,0.251387849657152,0.287948300809292,0.773386313216501,0.999904447272451
"ENSMUSG00000100204.2",5.96822664002917,0.374896061825324,0.745153242515074,0.503112702777698,0.614885036227687,NA
"ENSMUSG00000041859.11",1379.58313882526,0.108260339744286,0.0960518820217782,1.12710274349169,0.259699043543994,0.999904447272451
"ENSMUSG00000025931.16",17.3276604508701,-0.806921178144679,0.447546907241201,-1.80298682683064,0.071390283538095,0.77382098533104
"ENSMUSG00000041779.6",101.260758992239,-0.0415974772356285,0.218596382484361,-0.190293529851092,0.84907912345084,0.999904447272451
"ENSMUSG00000025933.16",178.380191756986,-0.0484097742435606,0.182023580884369,-0.265953312248663,0.790275165840063,0.999904447272451
"ENSMUSG00000028033.17",16.6708615090769,0.566711764661312,0.459743919641462,1.23266831914443,0.217699536256245,0.999904447272451
"ENSMUSG00000082935.4",1030.18505954734,-0.0667728931405255,0.103182280404253,-0.647135272441343,0.517544398627546,0.999904447272451
"ENSMUSG00000041670.20",6.98909797160608,0.234877013046092,0.721006710906369,0.325762589297998,0.744603985437325,NA
"ENSMUSG00000026158.12",122.421797012923,-0.145697167323053,0.18390335480173,-0.792248556205687,0.428215761255309,0.999904447272451
"ENSMUSG00000026155.14",471.8181346765,0.108220003372791,0.122140414042559,0.886029445872702,0.375601660048204,0.999904447272451
"ENSMUSG00000026153.16",476.258889854603,0.0778215344626348,0.140205243692933,0.555054378943725,0.578857466050015,0.999904447272451
"ENSMUSG00000026147.17",5.82197164824786,0.463312340871949,0.779252570101396,0.594559913753846,0.552137682151839,NA
"ENSMUSG00000099997.2",245.059372856913,-0.201686425826212,0.16031812866431,-1.25803879764916,0.208377725350347,0.988231129180555
"ENSMUSG00000073725.9",56.2734306678579,-0.357646142600164,0.277613118837915,-1.28828977570392,0.197645110867837,0.986025847576824
"ENSMUSG00000033569.18",10.6787861901257,0.886822495046402,0.576495469950942,1.53829915631751,0.123975485942207,0.893129521175492
"ENSMUSG00000101372.2",30.1479742809122,-0.653943782657903,0.350184705489471,-1.86742531129066,0.061842217886214,0.742527309994338
"ENSMUSG00000086240.5",75.3343140270435,-0.246200581429795,0.231330506797865,-1.06428064693138,0.287201582439594,0.999904447272451
"ENSMUSG00000058590.3",14.6594785029613,-0.0433681478145229,0.516881733157885,-0.0839034251598825,0.933133216281966,0.999904447272451
"ENSMUSG00000099492.2",4617.42784359741,-0.160319394260554,0.123456201445455,-1.29859328558222,0.194083543464766,0.983938481546354
"ENSMUSG00000048874.16",632.564366482752,0.074983889359874,0.127870582695437,0.586404533233974,0.557603698673534,0.999904447272451
"ENSMUSG00000117310.3",2.1508644442191,-0.161691925782631,1.26052574447571,-0.128273402182581,0.897932613180373,NA
"ENSMUSG00000026058.12",235.508977764594,-0.186456225745365,0.152700111048508,-1.22106149409501,0.222062737529813,0.999904447272451
"ENSMUSG00000100481.2",38.0325652793867,0.0236284246033024,0.312252824388172,0.0756708114637552,0.939680998469793,0.999904447272451
"ENSMUSG00000100590.2",10.4400521890291,-0.00954214507143123,0.572983396896974,-0.0166534407857318,0.986713090874444,0.999904447272451
"ENSMUSG00000026134.12",27.5973603634867,0.399831157370028,0.364386122325641,1.09727328477321,0.272521945594815,0.999904447272451
"ENSMUSG00000004768.15",7.41671677631262,0.205626419271775,0.677074227009235,0.303698488391835,0.761357609733272,NA
"ENSMUSG00000042215.9",20.079561928937,-0.47911990029414,0.418631060824924,-1.14449200054583,0.252419653516942,0.999904447272451
"ENSMUSG00000042197.14",291.121490900596,-0.0431253448141181,0.155391485094788,-0.277527078062301,0.781375416783441,0.999904447272451
"ENSMUSG00000081402.5",24.311148109316,-0.288623905241591,0.387370720092537,-0.745084463721583,0.456220660630289,0.999904447272451
"ENSMUSG00000026131.22",475.844119983214,-0.394667977060219,0.172973928047916,-2.28166164412299,0.022509324235658,0.46990320028051
"ENSMUSG00000037509.22",20.0339791882401,0.172501855767245,0.433176391851494,0.398225431976874,0.690464020919048,0.999904447272451
"ENSMUSG00000037503.13",561.592221697598,-0.0713373935885179,0.136630445825139,-0.52211930626221,0.601587265095321,0.999904447272451
"ENSMUSG00000103548.2",36.5877997989503,-0.226572320012963,0.308802688349931,-0.733712265342116,0.463124121576088,0.999904447272451
"ENSMUSG00000045216.8",573.028386205951,0.155978455993374,0.114213646867383,1.36567266934822,0.172041726355715,0.953903982694628
"ENSMUSG00000037470.15",1267.12309529842,0.0606057598157953,0.12843439029749,0.471881087887872,0.637011667815333,0.999904447272451
"ENSMUSG00000037447.17",8.8202629664339,-0.195549151582071,0.636277895113242,-0.30733293280174,0.75858997109813,0.999904447272451
"ENSMUSG00000010453.13",580.314969172704,0.15947608508341,0.117552545350386,1.35663659691982,0.174896707375189,0.953903982694628
"ENSMUSG00000001143.14",398.542079913533,0.024306377019534,0.123512003778389,0.196793641718789,0.8439890269963,0.999904447272451
"ENSMUSG00000037408.11",79.0379391894543,0.137929852923803,0.219960222282606,0.627067255581287,0.53061515000468,0.999904447272451
"ENSMUSG00000001138.14",207.97041793968,-0.14248278170825,0.163540247362043,-0.871239856894819,0.383623201704304,0.999904447272451
"ENSMUSG00000079610.10",3.91566954145536,-0.708618429636886,0.934043155556653,-0.758657054999324,0.448057732832224,NA
"ENSMUSG00000026121.14",29.5724102940327,0.222238529341759,0.345811322072051,0.642658337529663,0.520445820320423,0.999904447272451
"ENSMUSG00000089906.2",17.8693124389796,-0.148942796058587,0.439657322546555,-0.338770193103778,0.734782857342655,0.999904447272451
"ENSMUSG00000037351.10",331.186086810834,-0.0831848656673691,0.144593432810433,-0.575301824228958,0.565087187990584,0.999904447272451
"ENSMUSG00000026116.12",751.848982976034,-0.0956191016153907,0.131221178169263,-0.728686504338888,0.46619344996955,0.999904447272451
"ENSMUSG00000026114.15",27.1063745587611,0.723220428892258,0.359324533304582,2.01272209899238,0.044143873190237,0.651211002267704
"ENSMUSG00000026113.18",146.41064793044,-0.0572098286741554,0.18081143824076,-0.316406026249167,0.751694343464618,0.999904447272451
"ENSMUSG00000026111.16",52.7998347361142,-0.181453231644932,0.290410171053637,-0.624817068171552,0.532091127132495,0.999904447272451
"ENSMUSG00000026110.16",46.0230754335295,-0.12433525992357,0.308242890288245,-0.403367811037918,0.68667766301704,0.999904447272451
"ENSMUSG00000087233.2",11.0048547602411,-0.271997093738384,0.60038155046341,-0.45304039327731,0.650519655478955,0.999904447272451
"ENSMUSG00000060771.16",15.9141396269379,-0.0231480315755252,0.47379025408064,-0.0488571290273636,0.961033154114223,0.999904447272451
"ENSMUSG00000026088.16",30.1514377343403,0.374623311837304,0.347987834003521,1.07654140527658,0.28168519353725,0.999904447272451
"ENSMUSG00000058407.13",20.1469748866291,0.137158983789889,0.444066229285867,0.30887055746271,0.757419994188524,0.999904447272451
"ENSMUSG00000026083.13",3921.45741217986,0.0764535280040982,0.0916858158145272,0.833864293237651,0.404357460356918,0.999904447272451
"ENSMUSG00000026082.12",118.185141036349,0.0834984939336882,0.199465917470445,0.418610331993485,0.675500937389999,0.999904447272451
"ENSMUSG00000037138.19",3.71658718617246,0.135194101395522,0.949198108427704,0.142429804900754,0.886740521459188,NA
"ENSMUSG00000026080.15",24.7069764704499,0.150192343278278,0.370904028508797,0.404935864088937,0.685524655267282,0.999904447272451
"ENSMUSG00000026077.16",9.9584428956669,0.0226366417825486,0.643246376439649,0.0351912464829446,0.971927242204109,0.999904447272451
"ENSMUSG00000092563.2",3157.79449951057,-0.250325716149366,0.132977071459891,-1.88247277069018,0.0597718535663987,0.735354501597225
"ENSMUSG00000073702.12",13624.020294468,-0.270420370413834,0.116888058233719,-2.31349869695949,0.0206952363186217,0.454570301264097
"ENSMUSG00000003134.11",87.0537307669815,-0.0743113589852248,0.220613699345534,-0.336839277006255,0.736238062718503,0.999904447272451
"ENSMUSG00000003135.16",1025.59083997877,0.00465650523954945,0.101840453363078,0.0457235321110389,0.963530607509323,0.999904447272451
"ENSMUSG00000048234.14",94.3750392649059,-0.120251474953118,0.210645154510901,-0.570872257813529,0.568086237549175,0.999904447272451
"ENSMUSG00000026074.16",6146.10213256183,0.137195780010725,0.088261638529407,1.55442140318995,0.120083931145,0.889466647818256
"ENSMUSG00000026062.13",1.46360935677667,-0.295171159854649,1.46169784955032,-0.201937192385866,0.839965825666879,NA
"ENSMUSG00000100178.2",26.598567839968,0.254666087042811,0.384396626897992,0.662508641394485,0.507645298582585,0.999904447272451
"ENSMUSG00000060679.15",60.7313950358769,0.10452822572862,0.260880230260139,0.400675151292178,0.688659307836209,0.999904447272451
"ENSMUSG00000070939.10",240.016469706573,-0.0568727463671879,0.142099520101343,-0.400231797592469,0.688985796431715,0.999904447272451
"ENSMUSG00000010290.8",6.48925956863715,0.3199025065418,0.761987882620894,0.419826238498019,0.674612395509125,NA
"ENSMUSG00000008136.15",37.3632176079064,0.0583413376223877,0.344703256285085,0.16925090366462,0.865599291953148,0.999904447272451
"ENSMUSG00000094497.2",5.1031249220754,0.696014665389862,0.808315588129425,0.861067973463872,0.389200606935064,NA
"ENSMUSG00000066877.12",440.347763403126,0.118567521521181,0.117898175874187,1.00567731978914,0.314570816646367,0.999904447272451
