gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSMUSG00000025916.11,0,0,0,0,0,0
ENSMUSG00000087199.2,0,0,0,0,0,0
ENSMUSG00000121270.1,0,0,0,0,0,0
ENSMUSG00000119658.1,0,0,0,0,0,0
ENSMUSG00000025917.10,1124,1057,1399,1276,1242,1254
ENSMUSG00000056763.17,42,37,47,35,44,47
ENSMUSG00000102356.2,0,0,0,0,0,0
ENSMUSG00000067851.12,2159,1766,2293,2169,2374,1646
ENSMUSG00002076532.1,0,0,0,0,0,0
ENSMUSG00000102556.2,0,0,0,0,0,0
ENSMUSG00000042501.13,0,0,0,0,0,0
ENSMUSG00000103810.2,0,0,0,0,0,0
ENSMUSG00000083422.2,585,518,617,492,591,657
ENSMUSG00000119312.1,0,0,0,0,0,0
ENSMUSG00000081417.2,0,0,0,0,0,0
ENSMUSG00000103448.2,0,0,0,0,0,0
ENSMUSG00000100212.2,1,0,1,0,0,1
ENSMUSG00000100648.2,0,0,0,0,0,0
ENSMUSG00002076499.1,0,0,0,0,0,0
ENSMUSG00000048960.14,12,8,9,7,10,8
ENSMUSG00000077318.3,0,0,0,0,0,0
ENSMUSG00000101827.2,0,0,0,0,0,0
ENSMUSG00000103494.2,0,0,0,0,0,0
ENSMUSG00000057715.14,20,20,20,27,32,15
ENSMUSG00000103825.2,0,0,0,0,0,0
ENSMUSG00000099845.2,0,0,0,0,0,0
ENSMUSG00000103561.2,0,0,0,0,0,0
ENSMUSG00000101610.2,30,25,23,28,42,34
ENSMUSG00000118923.1,0,0,0,0,1,0
ENSMUSG00000098555.3,0,0,0,0,0,0
ENSMUSG00000097628.2,2,2,4,1,1,2
ENSMUSG00000098163.2,0,0,0,0,0,0
ENSMUSG00000097171.2,0,0,0,0,0,0
ENSMUSG00000101314.2,0,0,0,0,0,0
ENSMUSG00000016918.16,9,3,4,14,11,6
ENSMUSG00000025938.17,91,65,93,96,110,82
ENSMUSG00000104518.2,0,0,0,0,0,0
ENSMUSG00000069620.7,0,0,0,0,0,0
ENSMUSG00000099498.2,0,0,0,0,0,0
ENSMUSG00000042414.8,0,0,0,0,0,0
ENSMUSG00000005886.15,800,614,826,805,772,675
ENSMUSG00000103506.2,0,0,0,0,0,0
ENSMUSG00000103495.2,0,0,0,0,0,0
ENSMUSG00002076346.1,0,0,0,0,0,0
ENSMUSG00000102639.2,0,0,0,0,0,0
ENSMUSG00000104170.2,0,0,0,0,0,0
ENSMUSG00000087782.3,0,0,0,0,0,0
ENSMUSG00000103085.2,0,0,0,0,0,0
ENSMUSG00000102664.2,0,0,0,0,0,0
ENSMUSG00000101476.2,0,0,0,0,0,0
ENSMUSG00000101171.2,2,2,0,1,1,2
ENSMUSG00000025935.11,162,125,204,179,169,187
ENSMUSG00000120948.1,0,0,0,0,0,0
ENSMUSG00000025937.7,0,1,0,0,0,0
ENSMUSG00000102982.2,0,0,0,0,0,0
ENSMUSG00000067813.4,0,0,0,0,0,0
ENSMUSG00000077368.3,0,0,0,0,0,0
ENSMUSG00000097711.2,1,0,0,0,0,1
ENSMUSG00000102166.2,0,0,0,0,0,0
ENSMUSG00002075174.1,0,0,0,0,0,0
ENSMUSG00000104209.2,0,0,0,0,0,0
ENSMUSG00000025932.15,1,1,7,7,8,3
ENSMUSG00002075819.1,0,0,0,0,0,0
ENSMUSG00000102588.2,0,0,0,0,0,0
ENSMUSG00000054493.3,0,0,0,0,0,0
ENSMUSG00000025930.7,0,0,1,0,0,1
ENSMUSG00000103492.2,0,0,0,0,0,0
ENSMUSG00000081201.2,7,9,25,27,12,20
ENSMUSG00000082193.2,94,82,148,86,68,105
ENSMUSG00000032769.6,0,0,0,0,0,0
ENSMUSG00000088159.3,0,0,0,0,0,0
ENSMUSG00000073737.4,1,5,8,4,0,2
ENSMUSG00000092083.5,17,16,34,7,12,14
ENSMUSG00000102937.2,0,0,0,0,0,0
ENSMUSG00000104149.2,0,0,0,0,0,0
ENSMUSG00000088829.3,0,0,0,0,0,0
ENSMUSG00000077377.3,0,0,0,0,0,0
ENSMUSG00000101652.2,0,0,0,0,0,0
ENSMUSG00000100814.2,0,1,0,0,0,0
ENSMUSG00000025925.15,78,56,81,64,86,73
ENSMUSG00000104379.2,0,0,0,0,0,0
ENSMUSG00000032719.5,8,3,4,4,6,6
ENSMUSG00002076565.1,0,0,0,0,0,0
ENSMUSG00000100652.2,1,0,0,0,0,0
ENSMUSG00000067795.14,0,0,0,0,0,0
ENSMUSG00000043716.14,97,62,119,83,95,75
ENSMUSG00000025921.8,291,196,335,305,322,318
ENSMUSG00000104165.2,0,0,0,0,0,0
ENSMUSG00000100868.2,0,0,0,0,0,0
ENSMUSG00000025920.20,930,755,1034,855,872,854
ENSMUSG00000089982.8,0,0,0,0,0,0
ENSMUSG00000025939.20,908,804,965,1004,1025,811
ENSMUSG00000102457.2,0,0,0,0,0,0
ENSMUSG00000079658.10,867,739,949,947,976,1019
ENSMUSG00000097744.2,0,0,0,0,0,0
ENSMUSG00000100959.2,1,0,0,1,0,1
ENSMUSG00000025940.7,0,0,0,0,0,0
ENSMUSG00000025779.11,0,0,0,0,0,0
ENSMUSG00000100093.2,0,0,0,0,0,0
ENSMUSG00000091020.4,99,87,110,98,117,109
ENSMUSG00000101640.2,0,0,0,0,0,0
ENSMUSG00000104133.2,0,0,0,0,0,0
ENSMUSG00000042686.6,54,52,54,47,49,50
ENSMUSG00000100110.2,0,0,0,0,0,0
ENSMUSG00000025777.9,195,205,254,199,163,171
ENSMUSG00000099899.2,0,0,0,0,0,0
ENSMUSG00000100272.2,0,0,0,0,0,0
ENSMUSG00000100398.2,0,0,0,0,0,0
ENSMUSG00000101589.2,109,74,117,102,109,93
ENSMUSG00000102048.2,0,0,0,0,0,0
ENSMUSG00000089534.3,0,0,0,0,0,0
ENSMUSG00000067780.4,0,0,0,0,0,0
ENSMUSG00000100053.2,0,0,0,0,0,0
ENSMUSG00000085125.8,0,0,0,0,0,0
ENSMUSG00000025776.14,41,33,51,39,34,29
ENSMUSG00000099895.2,0,0,0,0,0,0
ENSMUSG00000100554.2,11,10,21,21,11,19
ENSMUSG00000099473.2,0,0,0,0,0,0
ENSMUSG00000099591.2,0,0,0,0,0,0
ENSMUSG00000109887.2,0,0,0,0,0,0
ENSMUSG00000102001.2,0,0,0,0,0,0
ENSMUSG00000101717.3,0,0,0,0,0,0
ENSMUSG00000025774.15,0,0,0,0,0,0
ENSMUSG00000070977.5,0,0,0,0,0,0
ENSMUSG00000073735.2,0,0,0,0,0,0
ENSMUSG00000067773.7,0,0,0,0,0,0
ENSMUSG00000101685.2,3,2,4,5,1,2
ENSMUSG00000101306.2,0,0,0,0,0,0
ENSMUSG00000088800.4,0,0,0,0,0,0
ENSMUSG00000101644.2,0,0,0,0,0,0
ENSMUSG00000099433.2,333,279,370,347,464,532
ENSMUSG00000089787.3,0,0,0,0,0,0
ENSMUSG00000042596.8,0,0,0,0,0,0
ENSMUSG00000100720.2,58,48,85,64,69,52
ENSMUSG00000025927.14,5,0,10,22,33,10
ENSMUSG00000100538.2,0,0,0,0,0,0
ENSMUSG00000101117.2,0,0,0,0,0,0
ENSMUSG00000100204.2,7,6,7,3,6,7
ENSMUSG00002076883.1,0,0,0,0,0,0
ENSMUSG00000102597.2,0,0,0,0,0,0
ENSMUSG00000043760.17,1,0,0,6,1,0
ENSMUSG00000104095.2,0,0,0,0,0,0
ENSMUSG00000089914.3,0,0,0,0,0,0
ENSMUSG00000090142.3,0,0,0,0,0,0
ENSMUSG00000070175.3,0,0,0,0,0,0
ENSMUSG00000099906.3,0,0,0,0,0,0
ENSMUSG00000065559.3,0,0,0,0,0,0
ENSMUSG00000065480.3,0,0,0,0,0,0
ENSMUSG00000025929.5,0,0,0,0,0,0
ENSMUSG00000041872.10,0,0,0,0,0,0
ENSMUSG00000041859.11,1391,1192,1700,1242,1417,1423
ENSMUSG00000099714.2,0,0,0,0,0,0
ENSMUSG00000102121.2,0,0,0,0,0,0
ENSMUSG00000088858.3,0,0,0,0,0,0
ENSMUSG00000097934.2,0,0,0,0,0,0
ENSMUSG00000025931.16,13,9,16,19,24,25
ENSMUSG00000077314.3,0,0,0,0,0,0
ENSMUSG00000100929.2,0,0,0,0,0,0
ENSMUSG00000041809.6,0,0,1,0,0,0
ENSMUSG00000041779.6,87,90,121,95,137,84
ENSMUSG00000099971.2,0,0,0,0,0,0
ENSMUSG00000100819.2,0,0,0,0,0,0
ENSMUSG00000025933.16,189,131,207,140,193,226
ENSMUSG00000102633.2,0,0,0,0,0,0
ENSMUSG00000025934.16,0,0,0,0,0,0
ENSMUSG00000099343.2,0,0,0,0,0,0
ENSMUSG00000096375.3,0,0,0,0,0,0
ENSMUSG00000121505.1,0,0,0,0,0,0
ENSMUSG00000025936.18,0,0,0,0,0,0
ENSMUSG00000093963.2,0,0,0,0,0,0
ENSMUSG00000067750.4,0,0,0,0,0,0
ENSMUSG00000086194.2,0,0,0,0,0,0
ENSMUSG00000094436.2,0,0,0,0,0,0
ENSMUSG00000041722.8,0,0,0,0,0,0
ENSMUSG00000085507.2,0,0,0,0,0,0
ENSMUSG00000094926.2,0,0,0,0,0,0
ENSMUSG00000085079.4,0,0,0,0,0,0
ENSMUSG00000085679.3,0,0,0,0,0,0
ENSMUSG00000028033.17,18,22,18,14,15,12
ENSMUSG00000104138.2,0,0,0,0,0,0
ENSMUSG00000082935.4,999,850,1154,1133,1034,1066
ENSMUSG00000103748.2,0,0,0,0,0,0
ENSMUSG00000099692.2,0,0,0,1,1,0
ENSMUSG00000100418.2,0,0,0,0,0,0
ENSMUSG00000041670.20,7,2,15,7,7,6
ENSMUSG00000097642.2,0,0,0,0,0,0
ENSMUSG00000101468.2,0,0,0,0,0,0
ENSMUSG00000101227.2,0,0,0,0,0,0
ENSMUSG00000073730.3,0,0,0,0,0,0
ENSMUSG00000089553.3,0,0,0,0,0,0
ENSMUSG00000102766.2,0,0,0,0,0,0
ENSMUSG00000065405.5,0,0,0,0,0,0
ENSMUSG00000097970.2,0,0,0,0,0,0
ENSMUSG00000065567.3,0,0,0,0,0,0
ENSMUSG00000100775.2,0,0,0,0,0,0
ENSMUSG00000101226.2,0,0,0,0,0,0
ENSMUSG00000026158.12,116,91,142,136,124,135
ENSMUSG00000097920.2,0,0,0,0,0,0
ENSMUSG00000099503.2,0,0,0,0,0,0
ENSMUSG00000026156.9,0,0,0,0,0,0
ENSMUSG00000026155.14,510,404,546,493,463,437
ENSMUSG00000026154.5,0,0,0,0,0,0
ENSMUSG00000102495.2,0,0,0,0,0,0
ENSMUSG00000026153.16,466,435,554,521,518,382
ENSMUSG00000102398.2,0,0,0,0,0,0
ENSMUSG00000097670.2,0,0,0,0,0,0
ENSMUSG00000026147.17,7,6,7,4,2,9
ENSMUSG00000026141.14,2,0,0,0,0,0
ENSMUSG00000077463.3,0,0,0,0,0,0
ENSMUSG00000099997.2,218,186,280,218,262,327
ENSMUSG00000100131.2,0,0,0,0,0,0
ENSMUSG00000067736.3,0,0,0,0,0,0
ENSMUSG00000101939.2,0,0,0,0,0,0
